category,food_id,food_name,calorie,water,protein,fat,cholesterol,carb,fiber,ash
10,10123,＜魚類＞（こち類）　めごち　生　　,75,81.1,17.5,0.1,52,0.1,0,1.2
10,10124,＜魚類＞このしろ　生　　　,160,70.6,19,8.3,68,0.4,0,1.7
10,10125,＜魚類＞このしろ　甘酢漬　　　,193,61.5,19.1,10.1,74,6.4,0,2.9
10,10126,＜魚類＞（さけ・ます類）　からふとます　生　　,154,70.1,21.7,6.6,58,0.1,0,1.5
10,10127,＜魚類＞（さけ・ます類）　からふとます　焼き　　,191,62.1,28.1,7.7,88,0.1,0,2
10,10128,＜魚類＞（さけ・ます類）　からふとます　塩ます　　,160,64.6,20.9,7.4,62,0.6,0,6.5
10,10129,＜魚類＞（さけ・ます類）　からふとます　水煮缶詰　　,156,69.7,20.7,7.2,89,0.1,0,2.3
10,10130,＜魚類＞（さけ・ます類）　ぎんざけ　養殖　生　　,204,66,19.6,12.8,60,0.3,0,1.3
10,10131,＜魚類＞（さけ・ます類）　ぎんざけ　養殖　焼き　　,257,56.7,25.2,15.8,88,0.4,0,1.9
10,10132,＜魚類＞（さけ・ます類）　さくらます　生　　,161,69.8,20.9,7.7,54,0.1,0,1.5
10,10133,＜魚類＞（さけ・ます類）　さくらます　焼き　　,233,57.4,28.4,12,77,0.1,0,2.1
10,10134,＜魚類＞（さけ・ます類）　しろさけ　生　　,133,72.3,22.3,4.1,59,0.1,0,1.2
10,10135,＜魚類＞（さけ・ます類）　しろさけ　水煮　　,152,68.5,25.5,4.7,78,0.1,0,1.2
10,10136,＜魚類＞（さけ・ます類）　しろさけ　焼き　　,171,64.2,29.1,5.1,85,0.1,0,1.5
10,10137,＜魚類＞（さけ・ます類）　しろさけ　新巻き　生　　,154,67,22.8,6.1,70,0.1,0,4
10,10138,＜魚類＞（さけ・ます類）　しろさけ　新巻き　焼き　　,198,59.5,29.3,7.9,95,0.1,0,3.2
10,10139,＜魚類＞（さけ・ます類）　しろさけ　塩ざけ　　,199,63.6,22.4,11.1,64,0.1,0,2.8
10,10140,＜魚類＞（さけ・ます類）　しろさけ　イクラ　　,272,48.4,32.6,15.6,480,0.2,0,3.2
10,10141,＜魚類＞（さけ・ます類）　しろさけ　すじこ　　,282,45.7,30.5,17.4,510,0.9,0,5.5
10,10142,＜魚類＞（さけ・ます類）　しろさけ　めふん　　,77,65.4,16.9,0.9,300,0.4,0,16.4
10,10143,＜魚類＞（さけ・ます類）　しろさけ　水煮缶詰　　,170,68.2,21.2,8.5,66,0.1,0,2
10,10144,＜魚類＞（さけ・ます類）　たいせいようさけ　養殖　生　　,237,62.1,20.1,16.1,72,0.1,0,1.6
10,10145,＜魚類＞（さけ・ます類）　たいせいようさけ　養殖　焼き　　,295,52.8,25.1,20,95,0.1,0,2
10,10146,＜魚類＞（さけ・ます類）　にじます　海面養殖　皮つき　生　　,224,63,21.4,14.2,69,0.1,0,1.3
10,10402,＜魚類＞（さけ・ます類）　にじます　海面養殖　皮なし　刺身　　,189,67.5,20.5,10.8,52,0.2,0,1.2
10,10147,＜魚類＞（さけ・ます類）　にじます　海面養殖　皮つき　焼き　　,266,55.3,27.2,15.8,98,0.4,0,1.8
10,10148,＜魚類＞（さけ・ます類）　にじます　淡水養殖　皮つき　生　　,127,74.5,19.7,4.6,72,0.1,0,1.1
10,10149,＜魚類＞（さけ・ます類）　べにざけ　生　　,138,71.4,22.5,4.5,51,0.1,0,1.5
10,10150,＜魚類＞（さけ・ます類）　べにざけ　焼き　　,177,63.4,28.5,6,76,0.1,0,2
10,10151,＜魚類＞（さけ・ます類）　べにざけ　くん製　　,161,64,25.7,5.5,50,0.1,0,4.7
10,10152,＜魚類＞（さけ・ます類）　ますのすけ　生　　,200,66.5,19.5,12.5,54,,0,1.5
10,10153,＜魚類＞（さけ・ます類）　ますのすけ　焼き　　,269,54.9,26.4,16.7,79,,0,2
10,10154,＜魚類＞（さば類）　まさば　生　　,247,62.1,20.6,16.8,61,0.3,0,1.1
10,10155,＜魚類＞（さば類）　まさば　水煮　　,309,57.4,22.6,22.6,80,0.3,0,1
10,10156,＜魚類＞（さば類）　まさば　焼き　　,318,54.1,25.2,22.4,79,0.4,0,1.3
10,10403,＜魚類＞（さば類）　まさば　フライ　　,332,47.2,20,25.1,70,6.5,,1.1
10,10157,＜魚類＞（さば類）　まさば　さば節　　,360,14.6,73.9,5.1,300,,0,6.4
10,10404,＜魚類＞（さば類）　ごまさば　生　　,146,70.7,23,5.1,59,0.3,0,1.3
10,10405,＜魚類＞（さば類）　ごまさば　水煮　　,155,68.8,24.8,5.2,62,0.2,0,1.2
10,10406,＜魚類＞（さば類）　ごまさば　焼き　　,195,60.8,31.1,6.6,74,0.3,0,1.6
10,10158,＜魚類＞（さば類）　たいせいようさば　生　　,326,54.5,17.2,26.8,68,0.4,0,1.1
10,10159,＜魚類＞（さば類）　たいせいようさば　水煮　　,348,51.4,18.6,28.5,78,0.4,0,1.1
10,10160,＜魚類＞（さば類）　たいせいようさば　焼き　　,370,47,21.8,29.3,80,0.5,0,1.4
10,10161,＜魚類＞（さば類）　加工品　塩さば　　,291,52.1,26.2,19.1,59,0.1,0,2.5
10,10162,＜魚類＞（さば類）　加工品　開き干し　　,348,50.1,18.7,28.5,65,0.2,0,2.5
10,10163,＜魚類＞（さば類）　加工品　しめさば　　,339,50.6,18.6,26.9,65,1.7,0,2.2
10,10164,＜魚類＞（さば類）　缶詰　水煮　　,190,66,20.9,10.7,84,0.2,0,2.2
10,10165,＜魚類＞（さば類）　缶詰　みそ煮　　,217,61,16.3,13.9,70,6.6,0,2.2
10,10166,＜魚類＞（さば類）　缶詰　味付け　　,215,59.6,21.4,12.6,95,4,0,2.4
10,10167,＜魚類＞（さめ類）　あぶらつのざめ　生　　,159,72.4,16.8,9.4,50,,0,1.4
10,10168,＜魚類＞（さめ類）　よしきりざめ　生　　,85,79.2,18.9,0.6,54,,0,1.3
10,10169,＜魚類＞（さめ類）　ふかひれ　　　,342,13,83.9,1.6,250,,0,1.5
10,10170,＜魚類＞さより　生　　　,95,77.9,19.6,1.3,100,,0,1.2
10,10171,＜魚類＞さわら　生　　　,177,68.6,20.1,9.7,60,0.1,0,1.5
10,10172,＜魚類＞さわら　焼き　　　,202,63.8,23.6,10.8,87,0.1,0,1.7
10,10173,＜魚類＞さんま　皮つき　生　　　,297,57.7,17.6,23.6,65,0.1,0,0.9
10,10407,＜魚類＞さんま　皮なし　刺身　　　,335,54.5,16.9,28,54,0.2,0,0.8
10,10174,＜魚類＞さんま　皮つき　焼き　　　,270,55.1,23.9,17.9,72,0.2,0,1.2
10,10175,＜魚類＞さんま　開き干し　　　,261,59.7,19.3,19,80,0.1,0,1.9
10,10176,＜魚類＞さんま　みりん干し　　　,409,25.1,23.9,25.8,98,20.4,0,4.8
10,10177,＜魚類＞さんま　缶詰　味付け　　,268,53.9,18.9,18.9,98,5.6,0,2.7
10,10178,＜魚類＞さんま　缶詰　かば焼　　,225,57,17.4,13,80,9.7,0,2.9
10,10179,＜魚類＞しいら　生　　　,108,75.5,21.3,1.9,55,,0,1.3
10,10180,＜魚類＞（ししゃも類）　ししゃも　生干し　生　　,166,67.6,21,8.1,230,0.2,0,3.1
10,10181,＜魚類＞（ししゃも類）　ししゃも　生干し　焼き　　,177,64.1,24.3,7.8,300,0.2,0,3.6
10,10182,＜魚類＞（ししゃも類）　からふとししゃも　生干し　生　　,177,69.3,15.6,11.6,290,0.5,0,3
10,10183,＜魚類＞（ししゃも類）　からふとししゃも　生干し　焼き　　,186,66.4,18.2,11.3,370,0.6,0,3.5
